index_code,date,open,close,low,high,volume,money,change
sz399001,1996-01-05,986.44,966.21,963.17,990.17,102554000.0,222559000.0,-0.017480170835875497
sz399001,1996-01-04,964.00,983.4,958.39,984.66,119894000.0,241043000.0,0.019986931222967907
sz399001,1996-01-03,959.38,964.13,952.57,964.31,60337100.0,130562000.0,-0.0016050865711207951
sz399001,1996-01-02,987.07,965.68,964.77,987.07,47050300.0,112482000.0,-0.022343710453049948
sz399001,1995-12-29,981.38,987.75,980.25,991.70,75331400.0,211739000.0,0.005036630036630019
sz399001,1995-12-28,993.93,982.8,981.65,994.71,75030300.0,176033000.0,-0.015092297516685726
sz399001,1995-12-27,993.82,997.86,987.77,999.69,90641300.0,202066000.0,0.0029449307991518126
sz399001,1995-12-26,998.87,994.93,993.84,1005.55,77517600.0,203884000.0,-0.005467812874850098
sz399001,1995-12-25,1019.18,1000.4,998.61,1020.24,70683200.0,209890000.0,-0.022684199214552336
sz399001,1995-12-22,1022.46,1023.62,1019.19,1027.32,63878600.0,190500000.0,-0.0007906835996603911
sz399001,1995-12-21,1034.27,1024.43,1024.00,1039.49,85420100.0,225370000.0,-0.009034891707052739
sz399001,1995-12-20,1027.19,1033.77,1024.71,1033.93,77339100.0,239684000.0,0.006170736692523882
sz399001,1995-12-19,1025.16,1027.43,1023.35,1032.58,100029800.0,256422000.0,-0.0010500627120785255
sz399001,1995-12-18,1044.11,1028.51,1024.99,1044.11,174779900.0,398454000.0,-0.019813208805870564
sz399001,1995-12-15,1058.58,1049.3,1045.94,1061.35,121383600.0,298514000.0,-0.009589791025616856
sz399001,1995-12-14,1063.03,1059.46,1055.23,1063.03,96577700.0,238568000.0,-0.005155171604300679
sz399001,1995-12-13,1076.50,1064.95,1060.58,1076.88,147259100.0,425059000.0,-0.009956677760630694
sz399001,1995-12-12,1067.30,1075.66,1054.05,1076.61,141777700.0,313364000.0,0.00559985790009998
sz399001,1995-12-11,1084.97,1069.67,1068.84,1088.31,142924600.0,253420000.0,-0.015626006533842607
sz399001,1995-12-08,1084.53,1086.65,1082.44,1092.95,127706900.0,248218000.0,0.0037688094072441114
sz399001,1995-12-07,1083.08,1082.57,1077.48,1084.73,108849700.0,193105000.0,0.0
sz399001,1995-12-06,1086.29,1082.57,1080.65,1088.09,63007900.0,142714000.0,-0.0024510933166241866
sz399001,1995-12-05,1081.70,1085.23,1080.58,1088.71,62255500.0,135170000.0,0.0033932467916713005
sz399001,1995-12-04,1082.76,1081.56,1076.11,1082.76,70789900.0,152587000.0,-0.00012942590367026607
sz399001,1995-12-01,1079.23,1081.7,1071.35,1087.83,71572200.0,198490000.0,-0.004124546576073973
sz399001,1995-11-30,1089.96,1086.18,1076.66,1092.58,89750400.0,246313000.0,-0.006012354152367783
sz399001,1995-11-29,1106.67,1092.75,1090.99,1106.67,68513500.0,239302000.0,-0.01094276094276092
sz399001,1995-11-28,1107.22,1104.84,1094.94,1107.56,100472200.0,385970000.0,-0.0038229884228369038
sz399001,1995-11-27,1118.83,1109.08,1107.36,1120.75,62318900.0,211994000.0,-0.011876230610917693
sz399001,1995-11-24,1121.42,1122.41,1116.78,1124.44,71154700.0,195008000.0,0.003576505932529228
sz399001,1995-11-23,1121.45,1118.41,1116.93,1126.92,88615500.0,251209000.0,-0.004326653431498961
sz399001,1995-11-22,1141.44,1123.27,1122.45,1154.88,103033900.0,324727000.0,-0.016021934896107037
